id,titre,lien,note,nb_avis,img_url,category
36,Joue de boeuf à la bourguignonne,/recettes/recette_joue-de-boeuf-a-la-bourguignonne_304962.aspx,4.9/5,"
            41 avis
        ",https://assets.afcdn.com/recipe/20181017/82828_w225h225c1cx1944cy2592cxt0cyt0cxb3888cyb5184.jpg,viande
37,Joue de porc à la bière,/recettes/recette_joue-de-porc-a-la-biere_36896.aspx,4.9/5,"
            192 avis
        ",https://assets.afcdn.com/recipe/20181017/82874_w225h225c1cx1711cy2281cxt0cyt0cxb3422cyb4562.jpg,viande
38,Souris d'agneau confite et fondante,/recettes/recette_souris-d-agneau-au-miel-et-thym_93493.aspx,4.8/5,"
            90 avis
        ",https://assets.afcdn.com/recipe/20250520/160388_w225h225c1cx3360cy2240cxt0cyt0cxb6720cyb4480.jpg,viande
39,Lentilles corail au curry,/recettes/recette_lentilles-corail-au-curry_40286.aspx,4.7/5,"
            179 avis
        ",https://assets.afcdn.com/recipe/20220916/135157_w225h225c1cx671cy1055cxt0cyt0cxb1414cyb2121.jpg,viande
40,Roti de Porc fondant,/recettes/recette_roti-de-porc-fondant_51874.aspx,4.7/5,"
            67 avis
        ",https://assets.afcdn.com/recipe/20200430/110203_w225h225c1cx2880cy1920cxt0cyt0cxb5760cyb3840.jpg,viande
41,Boudin noir poêlé aux pommes,/recettes/recette_boudin-noir-poele-aux-pommes_27785.aspx,4.6/5,"
            71 avis
        ",https://assets.afcdn.com/recipe/20200622/112035_w225h225c1cx2880cy1920cxt0cyt0cxb5760cyb3840.jpg,viande
42,Colombo de poulet,/recettes/recette_colombo-de-poulet_36849.aspx,4.6/5,"
            138 avis
        ",https://assets.afcdn.com/recipe/20181017/82877_w225h225c1cx1944cy2592cxt0cyt0cxb3888cyb5184.jpg,viande
1,Steak tartare,/recettes/recette_steak-tartare_18121.aspx,4.7/5,"
            135 avis
        ",https://assets.afcdn.com/recipe/20211130/125060_w225h225c1cx827cy763cxt0cyt0cxb2120cyb1414.jpg,viande
2,Rôti de porc : recette savoureuse,/recettes/recette_roti-de-porc-a-la-moutarde-et-au-miel_17178.aspx,4.6/5,"
            843 avis
        ",https://assets.afcdn.com/recipe/20160331/66959_w225h225c1cx1500cy1000.jpg,viande
3,Petit salé aux lentilles,/recettes/recette_petit-sale-aux-lentilles_19044.aspx,4.6/5,"
            113 avis
        ",https://assets.afcdn.com/recipe/20221019/136422_w225h225c1cx1443cy1643cxt0cyt0cxb4240cyb2832.jpg,viande
4,Rosbeef au four à l'ail,/recettes/recette_rosbeef-au-four-a-l-ail_232964.aspx,4.9/5,"
            60 avis
        ",https://assets.afcdn.com/recipe/20250408/159505_w225h225c1cx2808cy1872cxt0cyt0cxb5616cyb3743.jpg,viande
5,Poulet curry et oignons facile,/recettes/recette_poulet-curry-et-oignons-facile_13026.aspx,4.7/5,"
            531 avis
        ",https://assets.afcdn.com/recipe/20160405/6932_w225h225c1cx2125cy1414.jpg,viande
6,Blanquette de veau facile au Cookeo,/recettes/recette_blanquette-de-veau-facile-au-cookeo_383136.aspx,5/5,"
            33 avis
        ",https://assets.afcdn.com/recipe/20191119/102673_w225h225c1cx2808cy1872cxt0cyt0cxb5616cyb3744.jpg,viande
