id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00121,sanglier,sangliers,Sanglier,643,"28,3","4,38",0,0,0,,"1,3",77,sanglier
00122,steak,steaks,Steak,858,"13,4","7,1","20,8","3,97","3,1",,"0,73",,steak
00123,emmental,emmentaux,Emmental,1560,"27,3","28,8",traces,traces,0,,"19,7",96,emmental
00124,viande,viandes,Viande,765,"27,2","8,04","0,24","0,011","0,0083",,3,"85,8",viande
00125,salade,salades,Salade,,2,0,"2,5",0,2,,0,,salade
00126,mayonnaise,mayonnaises,Mayonnaise,,"1,36","75,2","2,62","1,03","0,32",,"7,27",70,mayonnaise
00127,pain,pains,Pain,1150,"9,01","1,61","54,4","2,74","3,84",,"0,37",,pain
00128,veau,veaux,Veau,712,29,"5,55","0,74",,"0,053",,"1,79","87,9",veau
00129,matière,matières,,,,,,,,,,,
00130,double,doubles,,,,,,,,,,,
00131,andouillette,andouillettes,Andouillette,946,"18,8","16,3",1,"< 0,5","0,71",,"6,94",284,andouillette
00132,chorizo,chorizos,Chorizo,1970,"20,9","41,9","2,6","2,6",0,,16,111,chorizo
00133,aiguillette,aiguillettes,,,,,,,,,,,
00134,rognon,rognons,Rognons,678,"26,1","6,31",0,0,0,,"1,61",440,rognons
00135,orange,oranges,Orange,192,"0,75","< 0,5","8,03","7,6","2,7",,"< 0,01",0,orange
00136,olive,olives,Olives,667,"1,39","16,5","0,043","0,011","4,38",,"2,35","0,88",olives
00137,coulis,coulis,Coulis,,"2,05","0,2","8,53","5,5","2,6",,"0,08",,coulis
00138,canard,canards,Canard,811,"23,3","11,2",0,0,0,,"3,48",119,canard
00139,liqueur,liqueurs,Liqueur,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0,liqueur
00140,dinde,dindes,Dinde,524,"28,5","1,09",0,,0,,"0,51","72,5",dinde
00141,travers,travers,,,,,,,,,,,
00142,muscade,muscade,Muscade,2080,"6,26","36,3","28,5","2,99","20,8",,"25,9",0,muscade
00143,céleri,céleris,Céleri,,"1,3","0,86","4,6","2,8","2,6",,,0,celeri
00144,yaourt,yaourts,Yaourt,,,,,,,,,,yaourt
