Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
Café,489,"2,87","3,69","17,8",14,"0,042",,"2,5",
Café en poudre,1510,"12,7","0,2",76,0,0,,"0,087",0
Café instantané lyophilisé,,"4,36","0,3",,"2,97",,,"0,061",0
Café soluble,1400,"9,3","0,35","66,9",,12,,"0,12",0
Caille,860,"26,8","10,9",0,0,0,,"3,06",86
Caillé de brebis,860,"26,8","10,9",0,0,0,,"3,06",86
Calamar,1050,"8,69","14,4","21,2","2,58","1,66",,"1,77",90
Calisson,1850,"7,88",18,"60,3","50,1","2,7",,"1,65",
Caloupilé,,,,,,,,,
Calvados,,0,0,0,0,0,,0,
Cambozola,,,,,,,,,
Camembert,1170,"19,1","22,5",traces,traces,0,,"15,8",74
Campari,,,,,,,,,
Canard,811,"23,3","11,2",0,0,0,,"3,48",119
Canard confit,1140,"25,7","18,8","0,15","0,14","0,4",,"7,26",132
Cancoillotte,635,"13,6","10,5","0,5",traces,0,,"7,06",26
Canette,,,,,,,,,
Canneberge,1410,"< 0,5",1,"76,4","72,8","5,7",,"0,2",0
Cannelle,,"5,2","3,7","59,4","37,6","2,6",,"2,11","14,8"
Canneloni,512,"4,38","5,9","11,8","4,3",traces,,"1,91","11,2"
Cantadou à l'ail et fines herbes,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301
Cantal,1580,"24,8",31,traces,"< 0,5",0,,"24,2",
Cap Corse,330,"16,1","1,52",traces,0,0,,"0,51",
Capellini,,,,,,,,,
Cappuccino,1760,"11,9","8,8","70,1",52,"3,3",,"7,47",
Câpres,,"2,18","0,86","3,5","0,41","3,6",,"0,23",0
Câpres au vinaigre,,"2,18","0,86","3,5","0,41","3,6",,"0,23",0
Caprons,,,,,,,,,
Capucine,,,,,,,,,
Carambar©,,,,,,,,,
Carambars,,,,,,,,,
Carambole,,"1,15","0,32","3,9","3,9","2,8",,"0,019",0
Caramel,560,"4,35","3,6","20,6",18,traces,,"1,93",12
Caramel au beurre salé,3010,"0,5","80,8","0,68",traces,0,,"52,9",245
Carbonate de calcium,170,"3,94","2,1","1,1","0,27","0,6",,"0,34",0
Carcasse de filets d’agneau,553,"21,6","4,95","0,22","< 0,5",0,,"2,06",
Cardamome,1340,"10,8","6,7","40,5",,28,,,0
Carde,,,,,,,,,
Cardon,,"0,76","0,11","3,63",,"1,7",,"0,012",0
Carensac®,,,,,,,,,
Carmine®,,,,,,,,,
Carotte,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0
Carotte jaune,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0
Carotte pourpre,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0
Carotte violette,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0
Carottes râpées,,"0,98",5,"6,01","5,2","3,64",,"0,43",
Carpaccio,1120,"15,2",23,"0,55","0,5","0,36",,"7,38","55,6"
Carpe,633,"21,6","7,17",traces,0,0,,"1,27",84
Carré d'agneau,866,"34,1","7,45","0,6",0,0,,"3,03","76,3"
Carré de veau,720,28,"6,6",traces,,0,,"2,64",94
Carré frais,866,"34,1","7,45","0,6",0,0,,"3,03","76,3"
Carré gervais,866,"34,1","7,45","0,6",0,0,,"3,03","76,3"
Carrelet,1010,"13,4","16,8","8,86",,1,,2,60
Carvi,1380,"19,8","14,6","11,9","0,64",38,,"0,62",0
Casarecce,,,,,,,,,
Cassis,,"1,33","0,86","9,68","9,68","5,8",,"0,14",0
Cassonade,,,,,,,,,
Cassoulet,539,"8,06","5,77","9,41","1,06","3,55",,"2,07","21,3"
Cava,,,,,,,,,
Caviar,1060,25,"17,1",traces,traces,0,,"3,21",
Caviar d'aubergine,,"0,71",21,"4,3","1,85","2,93",,"0,65",
Caviar de tomates,,"0,71",21,"4,3","1,85","2,93",,"0,65",
Cédrat,899,"2,19","19,2","6,8","6,5","3,5",,"1,88",
Cédrat confit,1270,"< 0,5","< 0,3","72,3","62,9","3,3",,0,0
Céleri,,"1,3","0,86","4,6","2,8","2,6",,,0
Céleri branche,70,"0,75","< 0,3","2,48","1,7","1,5",,"< 0,01",
Céleri-rave,,"1,3","0,86","4,6","2,8","2,6",,,0
Cendres de bois de chêne,0,0,0,0,0,0,,0,0
Cenovis,,,,,,,,,
Cèpes,133,"3,13","0,43","3,03","1,7","1,93",,"0,071",0
