Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
éperlan,361,"17,5","1,7",traces,0,0,,"0,27",71
épice Rabelais,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices à colombo,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices à couscous,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices à paella,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices à pain d'épices,,"2,94","1,1","71,5","38,2",3,,"0,18",2
épices à vin chaud,,"0,09",0,"3,29","1,37",0,,0,0
épices à volaille,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices cajun,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices espagnoles,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
Épices et arômates,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices indiennes,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices marocaines,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices pour pizza,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices pour poisson,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices pour tajine,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épices tandoori,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
épigramme d’agneau,,,,,,,,,
épinards,117,"3,38","0,7","< 0,85",traces,"3,5",,"0,13",
épinards frais,117,"3,38","0,7","< 0,85",traces,"3,5",,"0,13",
épine vinette,,,,,,,,,
épines de sapin blanc,,,,,,,,,
Épis de maïs,,"3,41","1,5","18,6","4,54","2,4",,"0,2",0
épluchures,,,,,,,,,
Épluchures de légumes,"22,7","0,34","0,16","0,65","0,19",0,,"0,14",0
époisses,1210,"17,4","24,5",traces,"< 0,03",traces,,"17,1","80,5"
érable,,,,,,,,,
Escalope,457,"20,7","2,6","0,58",0,0,,"0,6",
Escalope de dinde,524,"28,5","1,09",0,,0,,"0,51","72,5"
Escalope de porc,841,36,"6,2",traces,,0,,"1,85","99,6"
Escalope de poulet,1410,"7,25",24,"21,7","1,9","3,4",,"5,28","49,3"
Escalope de veau,457,"20,7","2,6","0,58",0,0,,"0,6",
Escargot,338,"16,6","1,4","0,23","< 0,3",0,,"0,31",
Espadon,1110,"28,7","16,9",traces,0,0,,"1,51",129
Essence d'amande amère,1800,7,"13,5","70,3","60,1","2,8",,"1,05",0
Estomac,,,,,,,,,
Estragon,184,"3,8",traces,"4,1","1,2","6,2",,"0,6",
Esturgeon,517,"17,7","5,84",traces,0,0,,"1,34",63
Etorki,1600,"23,4","32,3",traces,0,0,,"21,3",83
étrille,,,,,,,,,
Expresso,32,"< 0,5","0,2","1,16",traces,"< 0,5",,"0,092",0
Extrait d'amande,1800,7,"13,5","70,3","60,1","2,8",,"1,05",0
Extrait d'amande amère,1800,7,"13,5","70,3","60,1","2,8",,"1,05",0
Extrait de café,245,"0,03",0,"14,4","14,4",0,,0,0
Extrait de coco,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Extrait de sapin blanc,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Extrait de vanille,245,"0,03",0,"14,4","14,4",0,,0,0
Extrait de vanille liquide,245,"0,03",0,"14,4","14,4",0,,0,0
Faisan,999,"32,4","12,1",0,0,0,,"3,91",89
Faisselle,,"4,38",0,"4,44","3,99",traces,,0,"4,91"
Fajitas,665,"12,7","4,5",16,"2,2","1,4",,"1,96","30,6"
Fanes de carotte,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0
Fanta,,,,,,,,,
Farce,503,"5,49","9,67",2,"0,88","2,31",,"3,24",42
Farfalle,,,,,,,,,
Farine,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine à gâteaux,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine à pizza,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine complète,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine d'avoine,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine d'épeautre,1470,"12,5",3,64,"1,3","9,3",,"0,5",
Farine d'orge,1420,"10,6","2,3","64,5","0,8","8,85",,"0,43",0
Farine de blé,1490,"10,9","1,18","73,2","1,77","4,2",,"0,17",
Farine de blé noir,1490,"10,9","1,18","73,2","1,77","4,2",,"0,17",
Farine de châtaigne,,"6,1","3,43","70,4",,"12,6",,"0,52",
Farine de coco,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine de gruau,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine de lentilles,,"9,7","0,7","16,3","0,4",6,,"0,13",
Farine de lupin,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine de maïs,1530,"6,23","2,1","78,1","0,64","2,55",,"0,27",0
Farine de manioc,561,"0,69","0,043",32,,"0,4",,,
Farine de patate douce,,,,"50,1","0,018","11,3",,,
Farine de petit épeautre,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine de pois chiches,1510,"22,4","6,69",47,"10,9","10,8",,"0,69",0
Farine de riz,1500,8,"2,5","73,9","0,9","3,3",,"0,46",0
Farine de sarrasin,1470,"11,5","2,19","68,4","0,03","4,2",,"0,33",0
Farine de seigle,1300,"17,1","2,22","44,8","2,31","23,8",,"0,27",0
Farine de seigle complète,1300,"17,1","2,22","44,8","2,31","23,8",,"0,27",0
Farine de soja,1860,"39,2","21,4","22,9","7,5",10,,"3,04",0
Farine de sorgho,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine de tapioca,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine fermentante,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine intégrale,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Farine sans gluten,1100,"2,75","3,3","51,8","4,9","6,5",,"1,24","4,53"
Farine semi complète,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0
Faux-filet,685,"26,6","6,27",traces,,0,,"2,1",
Fécule,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Fécule de maïs,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Fécule de pomme de terre,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Fenouil,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0
Fenouil en grains,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0
Fenouil sauvage,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0
Fenugreek,,,,,,,,,
Féra,,,,,,,,,
Ferment lactique,1310,20,"26,2",traces,0,0,,18,104
Feta,,"14,5","22,8","2,5","1,13",0,,"14,3","60,3"
Feta marinée,,"14,5","22,8","2,5","1,13",0,,"14,3","60,3"
Fettucine,,,,,,,,,
Feuille de bananier,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de blé,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de brick,1200,7,"1,5",59,2,"2,5",,"0,1",
Feuille de cari,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de cerisier,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de citronnier,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de combava,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de curry,1230,"14,5",14,"2,63","2,63","53,2",,"1,65",0
Feuille de figuier,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de gélatine,1480,"86,9","0,1",0,,0,,"0,036",
Feuille de guigne,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de jasmin,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de Kaffir,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de laurier,1480,"7,61","8,36","48,6","48,6","26,3",,"2,28",0
Feuille de manioc,561,"0,69","0,043",32,,"0,4",,,
Feuille de menthe,240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0
Feuille de nori,1060,"31,5","1,63","10,5",,"36,3",,,
Feuille de riz,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de salam,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de shiso,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de Tito,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de vigne,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuille de won-ton,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuilles de cassis,,"1,33","0,86","9,68","9,68","5,8",,"0,14",0
Feuilles de citronnelle,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Feuilles de consoude,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuilles de coriandre,"92,6","2,13","0,52","0,87","0,87","2,8",,"0,014",0
Feuilles de guascas,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuilles de marjolaine,1140,"12,7","7,04","20,3","4,09","40,3",,"0,53",0
Feuilles de mélisse,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuilles de noyer,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",
Feuilles de pêcher,,"1,08","0,33",9,"8,16","1,6",,"0,027",0
Feuillet,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1"
Feuilleté,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1"
Feuillets à raviolis,837,"7,98","6,53","25,7","2,82","2,52",,"2,88",30
Fève de tonka,,"5,6","< 0,5","7,4",1,"5,8",,"< 0,01",
Fèves,,"5,6","< 0,5","7,4",1,"5,8",,"< 0,01",
Févette,,,,,,,,,
Ficelle,631,"8,6","7,5","11,9","2,7","0,6",,"2,8",
Figatelli,,,,,,,,,
Figolus,,"4,43","9,11","69,2","43,4","3,52",,"3,6","3,8"
Figue,293,"1,19","< 0,5","13,5","12,2","4,1",,"< 0,01",0
Figue de barbarie,,"0,37","0,31",6,"1,02","4,45",,"0,01",0
Filet d'agneau,553,"21,6","4,95","0,22","< 0,5",0,,"2,06",
Filet de boeuf,553,"21,6","4,95","0,22","< 0,5",0,,"2,06",
Filet de poisson,604,"23,5","5,52",0,0,0,,"1,21","57,5"
Filet de porc,519,"21,2","4,09","0,4",0,0,,"1,69","33,3"
Filet de poulet,785,"24,8","9,52","0,7",0,0,,,133
Filet de turbot,497,"21,3","3,64",traces,0,0,,"0,9",62
Filet de veau,838,"23,4","11,7","0,5",0,0,,"4,13",103
Filet mignon,519,"21,2","4,09","0,4",0,0,,"1,69","33,3"
Filets de rougets barbet désarêtés et écaillés,602,"24,1","5,2",traces,0,0,,"0,73","63,9"
Filo,1220,"7,1",6,"50,8","0,18","1,9",,"1,47",0
Fines herbes,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301
Fixe chantilly,1270,"2,06","28,2","10,6","10,4",< 3,,"18,9",76
Flageolet,469,"6,75","1,1",12,"0,3","13,8",,"0,25",
Flanchet,,,,,,,,,
Flétan,409,"21,2","1,31",traces,0,0,,"0,21","43,7"
Fleur d'acacia,"87,3","1,6","0,46","1,6","1,59",2,,"0,097",0
Fleur d'hibiscus,"87,3","1,6","0,46","1,6","1,59",2,,"0,097",0
Fleur d'oranger,,"0,29","0,08","8,79","8,79","0,18",,"0,005",
Fleur de camomille,0,0,0,0,0,0,,,
Fleur de courgette,"64,9","0,93","0,36","1,4","1,39","1,5",,"0,1",0
Fleur de jasmin,0,0,0,0,0,0,,,
Fleur de maïs,921,"8,36","0,92","6,65",0,79,,"0,13",0
Fleur de sel,0,0,0,0,0,0,,,
Fleur de sureau,,"0,64","0,5","11,4",,7,,"0,028",0
Fleuron feuilleté,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1"
Fleurs,"87,3","1,6","0,46","1,6","1,59",2,,"0,097",0
Fleurs de bourache,0,0,0,0,0,0,,,
Fleurs de Capucines,0,0,0,0,0,0,,,
Fleurs de ciboulette,124,"2,57","0,52","2,1","1,75","3,19",,"0,15",0
Fleurs de lavande officinale,0,0,0,0,0,0,,,
Fleurs de lilas,0,0,0,0,0,0,,,
Flocon de piment,1560,12,"17,3","29,4","10,3","27,2",,"3,26",0
Flocon de purée,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Flocons d'avoine,1530,"14,2","6,51","57,9","0,97","10,2",,"1,13",0
Flocons de bonite,675,"22,3","8,01",traces,0,0,,"2,11",
Floraline,,,,,,,,,
Florentin,2150,"9,31","28,7","50,7","44,1","7,6",,"10,8","21,4"
Fluff,,,,,,,,,
Flûte,,,,,,,,,
Foie,695,"26,3","5,71","2,2",0,0,,"1,69",204
Foie de porc,1440,16,25,"14,1",1,"0,5",,"9,5",
Foie de veau,511,19,"3,02","4,47",0,0,,"0,98",288
Foie de volaille,1120,"13,8","22,9","1,96","0,81",0,,"7,12",391
Foie gras,2010,"6,88","50,1","2,43","1,41",0,,"21,6",
Fond,,"2,08","0,43","8,09","1,89","7,54",,"0,1",
Fond blanc de cuisson,171,"3,15","2,05","2,4","0,7","0,1",,1,
Fond d'artichaut,,"2,08","0,43","8,09","1,89","7,54",,"0,1",
Fond de rôti,171,"3,15","2,05","2,4","0,7","0,1",,1,
Fond de veau,171,"3,15","2,05","2,4","0,7","0,1",,1,
Fond de volaille,171,"3,15","2,05","2,4","0,7","0,1",,1,
Fondant,,"4,08","1,08","11,8","10,1","2,22",,"0,71",
Fondue de tomate,965,"15,9","17,2","2,6","1,1",0,,12,"73,6"
Fonio,,,,,,,,,
Fouetté de brebis Le Petit basque®,,"4,03","13,3","57,4","28,1",1,,"7,55","53,1"
Fourme d'ambert,1360,"19,5","27,6",traces,0,0,,18,97
Fourme de montbrison,1520,"22,1","30,8",traces,0,0,,"20,5",
Fraise de veau,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Fraise des bois,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Fraise gariguette,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Fraise tagada,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Fraises,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Fraises tagada®,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Framboises,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0
Framboises surgelées,,"1,16","0,8","6,43","6,03","6,05",,"0,062",0
Frangipane,,"7,6",30,"33,4","15,6",2,,14,90
Fregola sarda,,,,,,,,,
Frik,263,"3,75","2,5","5,4","0,9","1,9",,,11
Frisée,,"1,9","0,4","3,63","1,25",2,,"0,052",0
Frite,1200,"3,28","11,9","39,4","0,69","3,9",,"2,94",0
Frites frisées,1200,"3,28","11,9","39,4","0,69","3,9",,"2,94",0
Fromage,1330,"20,2","26,5",0,"0,021",0,,"17,6",
Fromage à raclette,1430,"22,9","27,5",traces,traces,0,,"18,5","99,6"
Fromage ail et fines herbes,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301
Fromage blanc,371,"6,95","4,31","5,68",5,"0,0048",,"2,81","17,9"
Fromage blanc sucré,371,"6,95","4,31","5,68",5,"0,0048",,"2,81","17,9"
Fromage Caprice des Dieux,1380,"17,2","29,4",traces,,0,,"18,5","79,5"
Fromage de brebis,791,"9,91","14,8","4,3",,0,,,
Fromage de chèvre,1840,"29,9","35,6",traces,,0,,"24,6",105
Fromage frais,1330,"20,2","26,5",0,"0,021",0,,"17,6",
Fromage grana padano,1660,"33,4","29,2",traces,"< 0,25",0,,"19,5",
Fromage râpé,1330,"20,2","26,5",0,"0,021",0,,"17,6",
Fromage Saint Agur,1390,"22,3",27,traces,"< 0,5",0,,"17,8",
Fromages grecs,1330,"20,2","26,5",0,"0,021",0,,"17,6",
Fromages hollandais,1330,"20,2","26,5",0,"0,021",0,,"17,6",
Fromages italiens,1330,"20,2","26,5",0,"0,021",0,,"17,6",
Fromages suisses,392,"6,56","2,8","9,34","9,3",1,,"1,79","11,7"
Fructose,,0,0,"99,8",,0,,0,0
Fruit à pain,444,"1,07","0,23","22,2",11,"4,9",,"0,048",0
Fruit confit,1270,"< 0,5","< 0,3","72,3","62,9","3,3",,0,0
Fruit de la passion,,"0,67","0,18","14,3","14,3","0,2",,"0,015",0
Fruit du dragon,,"16,9","66,1","6,17","2,33","6,4",,16,0
Fruits,394,"3,18","2,83",13,"12,6","0,27",,"1,9","10,6"
Fruits à coque,1650,"9,77","4,93","75,5","23,7","4,33",,"0,83",
Fruits de saison,200,"0,54","0,13","10,5","10,3","0,35",,"0,031",0
Fruits exotiques,1640,"2,19","10,5","69,5","59,4","3,4",,"9,16",0
Fruits rouges,,"0,8","0,54","25,1","25,1","3,46",,"< 0,051",0
Fruits secs,2060,"7,23",26,"57,6","45,1","1,53",,"9,53","5,55"
"Fruits secs, à coque, oleagineux",1650,"9,77","4,93","75,5","23,7","4,33",,"0,83",
Fumet,,,,,,,,,
Fumet de crustacé,122,"0,91","0,5","5,09","1,06","0,21",,"0,14",
Fumet de poisson,604,"23,5","5,52",0,0,0,,"1,21","57,5"
Fungrec,,,,,,,,,
Fusilli,,,,,,,,,
Galanga,,,,,,,,,
Galette,,"6,84","23,5","63,7","28,2","3,01",,"13,2",
Galette de blé,1490,"10,9","1,18","73,2","1,77","4,2",,"0,17",
Galette de blé complet,1630,"7,69",3,"80,5","0,73","2,9",,"0,54",
Galette de maïs,,"7,44","1,7",,"0,3",,,"0,36",
Galette de riz,1630,"7,69",3,"80,5","0,73","2,9",,"0,54",
Galette de sarrasin,,"5,95","1,51","30,1","1,08","3,08",,"0,33","0,7"
Galettes (bretonnes),,"5,13",8,32,"21,5","3,4",,"4,79","68,4"
Gambas,,,,,,,,,
Ganache au chocolat,1160,"3,8","16,8","26,2","24,1",3,,"10,9",
Gaperon,,,,,,,,,
Garam masala,,"2,6","1,7","14,3","12,3","1,9",,"0,35",
Gari,,,,,,,,,
Gâteaux,,"5,27","17,8","53,5",32,"1,75",,"5,36","85,8"
Gaufre,,8,"13,4","36,1","4,8","1,9",,"5,12",82
Gaufrette,,"4,43","1,58","82,4","41,7","1,66",,"0,75",
Gavotte,,,,,,,,,
Gélatine,1480,"86,9","0,1",0,,0,,"0,036",
Gélatine,1480,"86,9","0,1",0,,0,,"0,036",
Gélatine en feuilles,1480,"86,9","0,1",0,,0,,"0,036",
Gélatine en poudre,1480,"86,9","0,1",0,,0,,"0,036",
Gelée,,13,4,14,14,,,,
Gelée anglaise à la fraise,,"5,35","6,6","66,7","30,8",1,,2,
Gelée au madère,1050,"44,5","0,2",17,"1,25","0,1",,"0,1",
Gelée au vin blanc,,"< 0,5",0,"4,04","0,17",0,,0,0
Gelée d'abricot,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Gelsuc,,,,,,,,,
Gendarme,,19,"24,9",,,traces,,"8,56","84,6"
Génépi,,,,,,,,,
Genièvre,,,,,,,,,
Génoise,,"5,7","14,4","57,6","27,1","4,6",,"1,6",
Germe de luzerne,,"3,87","0,7","0,91","0,2","1,9",,"0,069",0
Germes de soja,,"2,81","< 0,5","3,4","3,4","1,7",,"< 0,0002",0
Gervita,,"4,5",7,16,15,traces,,"4,5",
Gésier de volaille,443,"17,3","3,75","0,6",0,0,,"1,12",240
Gésiers,443,"17,3","3,75","0,6",0,0,,"1,12",240
Get 27,1500,25,"28,4",traces,traces,0,,"19,5",97
Gewurztraminer,,,,,,,,,
Ghee,,,,,,,,,
Gianduja,,,,,,,,,
Gigérine,,,,,,,,,
Gigot d'agneau,538,20,"5,13","0,48",0,0,,"1,97","72,7"
Gin,1100,0,0,0,0,0,,0,0
Gingembre,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Gingembre confit,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Gingembre en poudre,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Ginger Ale,,,,,,,,,
Ginger beer,,,,,,,,,
Gini,,,,,,,,,
Giraumon,,,,"3,75","1,35","2,4",,,
Girelle,,,,,,,,,
Girofle,1390,"5,97",13,"31,6","2,38","33,9",,"3,95",0
Girolles,137,"2,28","0,78","2,3","1,87","4,23",,"0,5",0
Giromon,,,,,,,,,
Gîte,431,21,"1,9","0,2",,0,,"0,8",
Glaçage,,,,,,,,,
Glace,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Glace à l'ananas,231,"< 0,5","< 0,5","11,7","10,5","1,2",,"< 0,01",0
Glace à la figue,293,"1,19","< 0,5","13,5","12,2","4,1",,"< 0,01",0
Glace à la mangue,376,"0,75","0,5","19,3","18,4","1,8",,"0,18",
Glace à la noix de coco,,"7,1","20,1","66,5","24,2","2,65",,"12,3",
Glace à la passion,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Glace à la pistache,,"15,3","25,8",,,traces,,,
Glace à la poire,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Glace au caramel,495,"2,86","3,47","18,6","15,9","0,12",,"2,22",
Glace au chocolat,1500,"5,12","21,4","35,8","27,7","1,31",,"15,2","8,8"
Glace au nougat,1100,"4,83","15,2","25,3","20,5","2,76",,11,"22,7"
Glace au rhum,,"2,25","9,9","36,3","29,9","0,8",,"6,42",47
Glace au spéculoos,,"5,94","19,7",69,"32,6","1,93",,"9,35",
Glace aux noix de pécan,,12,73,5,"4,9",3,,"7,1",
Glace café,,12,73,5,"4,9",3,,"7,1",
Glace caramel au beurre salé,3010,"0,5","80,8","0,68",traces,0,,"52,9",245
Glace coco,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Glace fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Glace framboise,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0
Glace pilée,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Glace stracciatella,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Glace vanille,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Glaçons,,,,,,,,,
Glucose,,,,,,,,,
Glucose atomisé,,,,,,,,,
Glucose liquide,,0,0,81,61,0,,0,
Glutamate,,,,,,,,,
Glycérine alimentaire,1400,"40,4","4,5","21,8","2,5","22,5",,"0,7","< 0,7"
Gnocchi,766,"6,34","7,88",34,"0,65","1,9",,"0,33",
Gochugaru (poudre de piment rouge coréen),1560,12,"17,3","29,4","10,3","27,2",,"3,26",0
Gochujang (pâte de piment rouge coréen),1560,12,"17,3","29,4","10,3","27,2",,"3,26",0
Gofio,,,,,,,,,
Golden syrup,242,"< 0,5","< 0,5","12,8","11,5","1,4",,"< 0,01",
Golmotte,,,,,,,,,
Gomasio,,,,,,,,,
Gombo,,"1,87","0,21","2,01","2,01","2,5",,"0,045",0
Gomme arabique,,,,,,,,,
Gomme de guar,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Gomme de xanthane,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Gorge de porc,1960,"11,6","47,5","0,14","0,14",0,,16,
Gorgonzola,1300,"18,6","26,4",traces,"< 0,3",0,,"16,9","81,1"
Gouda,1560,"22,8","31,5",traces,"< 0,25",0,,"20,3",103
Gouda en tranches,1560,"22,8","31,5",traces,"< 0,25",0,,"20,3",103
Gousse de vanille,,,,,,,,,
Goyave,,"1,59","0,73","9,02","8,92","5,15",,"0,21",0
Goyavier,,,,,,,,,
Grain de palme,3700,0,100,0,0,0,,"49,3",0
Graine de fenouil,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0
Graine de fruit de la passion,,"1,08","0,37",,,,,,
Graine de moutarde,632,"6,92","11,2","4,33","1,66",< 1,,"0,76",0
Graines d'anis,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0
Graines d'anis vert,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0
Graines de cardamome,1340,"10,8","6,7","40,5",,28,,,0
Graines de cardamone,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0
Graines de chia,,"19,5","30,7","7,72",,"34,4",,"3,33",0
Graines de coriandre,1430,"12,4","17,8",13,,"41,9",,"0,97",0
Graines de courge,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0
Graines de cumin,1780,"17,8","22,3","33,7","2,25","10,5",,"1,54",0
Graines de fenouil,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0
Graines de grenade,340,"1,44","1,2","14,3","13,3","2,3",,"0,07",0
Graines de lin,1650,"11,3",9,63,"4,67",9,,"1,17",
Graines de lupin,,"36,2","9,74","21,5",,"18,9",,"1,16",0
Graines de moutarde,632,"6,92","11,2","4,33","1,66",< 1,,"0,76",0
Graines de nigelle,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0
Graines de pavot,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0
Graines de sésame,,"20,8","49,7","9,85","0,3","14,9",,"7,09",0
Graines de sésame noir,,"20,8","49,7","9,85","0,3","14,9",,"7,09",0
Graines de tournesol,,"25,1","55,5","10,1","2,62","6,4",,"6,23",0
Graines germées,,"3,87","0,7","0,91","0,2","1,9",,"0,069",0
Grains de genévrier,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0
Graisse à friteuse,1200,"3,28","11,9","39,4","0,69","3,9",,"2,94",0
Graisse d'oie,3690,0,"99,8",0,0,0,,"27,7",100
Graisse de boeuf,3690,0,"99,8",0,0,0,,"29,8",85
Graisse de canard,3690,0,"99,8",0,0,0,,"33,2",100
Graisse de coco,3700,0,100,0,0,0,,"86,5",0
Graisse de coprah,3700,0,100,0,0,0,,84,0
Graisse de palme,3700,0,100,0,0,0,,"49,3",0
Graisse végétale,3690,0,"99,8",0,0,0,,"27,7",100
Grand-marnier,,"1,5",7,"8,45","6,6",traces,,"4,85",
Granny smith,217,"< 0,5","< 0,5","10,7","10,1","2,8",,"< 0,01",
Granola,,,,,,,,,
Granulés multicolores,,"0,5",5,93,91,"0,5",,4,
Grappa,,,,,,,,,
Gras double,1250,"15,5","16,7","21,5",,< 1,,"6,32","48,4"
Grenade,340,"1,44","1,2","14,3","13,3","2,3",,"0,07",0
Grenadier,292,"15,4","0,81",traces,0,0,,"0,11","37,1"
Grenadin de veau,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Grenadine,,,,,,,,,
Gressin,1800,"13,9","11,8","65,3","2,06","5,16",,"2,78",
Greubon,,,,,,,,,
Griotte,,"1,1","0,3","10,5","8,49","1,65",,"0,084",0
Grive,,,,,,,,,
Grondin,397,19,2,traces,0,0,,,
Gros cèpes,133,"3,13","0,43","3,03","1,7","1,93",,"0,071",0
Gros cornichon,"81,9","1,06","< 0,6","0,78","0,6","1,5",,"< 0,01",0
Gros sel,0,0,0,0,0,0,,,
Gros sel de Camargue,0,0,0,0,0,0,,,
Groseille à maquereaux,,"0,75","0,59","4,88",,"4,03",,"0,058",0
Groseilles,289,"1,56","0,7","7,06","6,63","4,6",,"0,21",0
Gruau,,,,,,,,,
Gruyère,1770,"27,9","34,6",traces,0,0,,"19,8",105
Gruyère râpé,1770,"27,9","34,6",traces,0,0,,"19,8",105
Gruyère suisse,1770,"27,9","34,6",traces,0,0,,"19,8",105
Guacamole,,"2,18","16,5","5,85","2,65","5,65",,"3,95","3,6"
Guanciale,,,,,,,,,
Guigne,,,,,,,,,
Guignolet,,,,,,,,,
